127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/basics/helloworld, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/images/favicon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:30:32, GET, /pythonWeb/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:30:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-11-14 17:30:44, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.259000
127.0.0.1, 2018-11-14 17:31:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.097000
127.0.0.1, 2018-11-14 17:31:44, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.312000
127.0.0.1, 2018-11-14 17:32:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-11-14 17:32:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.208000
127.0.0.1, 2018-11-14 17:33:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-11-14 17:33:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.251000
127.0.0.1, 2018-11-14 17:34:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-14 17:34:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.197000
127.0.0.1, 2018-11-14 17:35:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-11-14 17:35:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.230000
127.0.0.1, 2018-11-14 17:36:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-11-14 17:36:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.242000
127.0.0.1, 2018-11-14 17:37:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.082000
127.0.0.1, 2018-11-14 17:37:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.230000
127.0.0.1, 2018-11-14 17:38:02, GET, /pythonWeb/basics/request_args/3.5/3, HTTP/1.1, 500, 1.857000
127.0.0.1, 2018-11-14 17:38:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-14 17:38:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-11-14 17:38:44, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.284000
127.0.0.1, 2018-11-14 17:39:05, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.353000
127.0.0.1, 2018-11-14 17:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-14 17:39:21, GET, /admin/default/delete/pythonWeb/views/basics/request_args.html, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-11-14 17:39:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
